Setiment_Value,Sentiment,Time
0,0, 2018-03-17T00:00:00Z
0.433333333,1, 2018-03-16T09:59:23Z
0.5,1, 2018-03-16T08:11:00Z
0,0, 2018-03-16T08:05:19Z
0,0, 2018-03-16T08:00:03.9405527Z
-0.025641026,-1, 2018-03-16T07:08:14Z
0,0, 2018-03-16T07:07:07Z
0,0, 2018-03-16T06:47:08Z
0.5,1, 2018-03-16T05:52:35.3865863Z
0,0, 2018-03-16T05:09:40+00:00
0,0, 2018-03-16T05:06:43Z
0.068181818,1, 2018-03-16T04:07:47.2560533Z
0,0, 2018-03-16T03:36:52Z
0,0, 2018-03-16T02:59:30Z
0,0, 2018-03-16T02:14:23Z
0,0, 2018-03-16T01:56:56Z
0.166666667,1, 2018-03-16T01:35:51Z
0,0, 2018-03-16T00:33:36Z
0,0, 2018-03-16T00:32:00Z
-0.6,-1, 2018-03-16T00:06:01Z
