Setiment_Value,Sentiment,Time
0,0, Fri Mar 16 02:53:47 +0000 2018
0,0, Fri Mar 16 02:54:48 +0000 2018
0,0, Fri Mar 16 02:56:51 +0000 2018
0.5,1, Fri Mar 16 02:56:59 +0000 2018
0.25,1, Fri Mar 16 02:57:30 +0000 2018
0,0, Fri Mar 16 02:58:39 +0000 2018
0.5,1, Fri Mar 16 02:58:48 +0000 2018
0,0, Fri Mar 16 02:59:16 +0000 2018
0,0, Fri Mar 16 02:59:51 +0000 2018
0.2,1, Fri Mar 16 03:00:03 +0000 2018
-0.083333333,-1, Fri Mar 16 03:00:14 +0000 2018
0,0, Fri Mar 16 03:00:19 +0000 2018
0,0, Fri Mar 16 03:00:22 +0000 2018
0,0, Fri Mar 16 03:00:31 +0000 2018
0.2,1, Fri Mar 16 03:00:33 +0000 2018
0,0, Fri Mar 16 03:00:34 +0000 2018
0,0, Fri Mar 16 03:02:42 +0000 2018
0.5,1, Fri Mar 16 03:02:48 +0000 2018
0,0, Fri Mar 16 03:02:54 +0000 2018
-0.2,-1, Fri Mar 16 03:02:55 +0000 2018
-0.3125,-1, Fri Mar 16 03:03:19 +0000 2018
-0.75,-1, Fri Mar 16 03:03:48 +0000 2018
0,0, Fri Mar 16 03:04:11 +0000 2018
0,0, Fri Mar 16 03:04:15 +0000 2018
0.5,1, Fri Mar 16 03:04:46 +0000 2018
0.65,1, Fri Mar 16 03:05:03 +0000 2018
0,0, Fri Mar 16 03:05:10 +0000 2018
0.5,1, Fri Mar 16 03:05:31 +0000 2018
0,0, Fri Mar 16 03:05:59 +0000 2018
0,0, Fri Mar 16 03:07:10 +0000 2018
0,0, Fri Mar 16 03:07:20 +0000 2018
0,0, Fri Mar 16 03:07:40 +0000 2018
0,0, Fri Mar 16 03:07:41 +0000 2018
0,0, Fri Mar 16 03:08:18 +0000 2018
0.05,1, Fri Mar 16 03:09:55 +0000 2018
0,0, Fri Mar 16 03:10:18 +0000 2018
-1,-1, Fri Mar 16 03:10:27 +0000 2018
0,0, Fri Mar 16 03:11:54 +0000 2018
0.5,1, Fri Mar 16 03:13:03 +0000 2018
0,0, Fri Mar 16 03:13:05 +0000 2018
0.5,1, Fri Mar 16 03:13:06 +0000 2018
0,0, Fri Mar 16 03:13:07 +0000 2018
0,0, Fri Mar 16 03:13:12 +0000 2018
-1,-1, Fri Mar 16 03:13:42 +0000 2018
-0.140625,-1, Fri Mar 16 03:14:27 +0000 2018
0,0, Fri Mar 16 03:14:38 +0000 2018
